The recipe,Source file count,Source file changed count,Cumulative scanning time (ns),Max scanning time (ns),Cumulative edit time (ns),Max edit time (ns)
The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,The max time editing any one source file.
org.openrewrite.java.spring.security5.AuthorizeHttpRequests,10,9,0,0,2267766,436975
org.openrewrite.java.migrate.jakarta.JavaxEEApiToJakarta,10,9,7006,753,26346,3554
org.openrewrite.hibernate.TypeAnnotationParameter,10,9,0,0,59177,6687
org.openrewrite.java.testing.mockito.Mockito1to3Migration,10,9,15712,2282,33216,5391
org.openrewrite.java.migrate.javax.MigrateJaxBWSPlugin,10,9,16422,2854,23324,5301
org.openrewrite.java.spring.batch.ListenerSupportClassToInterface,10,9,9628,1655,15785,2678
org.openrewrite.java.migrate.jakarta.WsWsocServerContainerDeprecation,10,9,9415,1315,24325,3813
org.openrewrite.java.migrate.jakarta.UpdateRestLet2_6,10,9,35284,4580,22741,8335
org.openrewrite.java.spring.security6.UpdateEnableReactiveMethodSecurity,10,9,0,0,57014,7456
org.openrewrite.java.testing.junit5.ExcludeJUnit4UnlessUsingTestcontainers,10,9,90851,26982,45311,6332
org.openrewrite.java.testing.mockito.MockUtilsToStatic,10,9,0,0,100581,6730
org.openrewrite.java.migrate.sql.JavaSqlAPIs,10,9,5672,741,26654,9056
org.openrewrite.java.migrate.javax.JavaxManagementMonitorAPIs,10,9,6425,710,16842,1997
org.openrewrite.java.migrate.UpgradeBuildToJava17,10,9,8036,915,32317,8511
org.openrewrite.java.migrate.UpgradeBuildToJava11,10,9,4359,682,16334,1880
org.openrewrite.java.migrate.concurrent.MigrateAtomicBooleanWeakCompareAndSetToWeakCompareAndSetPlain,10,9,6471,721,15729,1833
org.openrewrite.java.migrate.RemovedModifierAndConstantBootstrapsConstructors,10,9,4861,644,20537,6475
org.openrewrite.java.SimplifyMethodChain,10,9,0,0,553633,91261
org.openrewrite.java.migrate.jakarta.UpdateManagedBeanToNamed,10,9,0,0,779350,375687
org.openrewrite.java.spring.boot2.MigrateHttpMessageConvertersPackageName,10,9,14608,3061,50994,4758
org.openrewrite.java.springdoc.SpringFoxToSpringDoc,10,9,43303,9961,53577,5356
org.openrewrite.java.migrate.javax.MigrateAbstractElementVisitor6To9,10,9,5170,695,31099,9050
