Source path before the run,Source path after the run,Parent of the recipe that made changes,Recipe that made changes,Estimated time saving,Cycle
The source path of the file before the run. `null` when a source file was created during the run.,A recipe may modify the source path. This is the path after the run. `null` when a source file was deleted during the run.,"In a hierarchical recipe, the parent of the recipe that made a change. Empty if this is the root of a hierarchy or if the recipe is not hierarchical at all.",The specific recipe that made a change.,"An estimated effort that a developer to fix manually instead of using this recipe, in unit of seconds.",The recipe cycle in which the change was made.
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_1,org.openrewrite.maven.UpgradeParentVersion,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_2,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_1,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_3,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_2,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_3,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6,300,1
pom.xml,pom.xml,,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_2,org.openrewrite.maven.UpgradeParentVersion,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_3,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_2,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_3,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6,300,1
pom.xml,pom.xml,,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_3,org.openrewrite.maven.UpgradeParentVersion,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_3,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6,300,1
pom.xml,pom.xml,,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7,300,1
pom.xml,pom.xml,org.openrewrite.java.testing.junit5.ExcludeJUnit4UnlessUsingTestcontainers,org.openrewrite.maven.ExcludeDependency,300,1
pom.xml,pom.xml,org.openrewrite.java.testing.junit5.JUnit4to5Migration,org.openrewrite.java.testing.junit5.ExcludeJUnit4UnlessUsingTestcontainers,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.SpringBoot2JUnit4to5Migration,org.openrewrite.java.testing.junit5.JUnit4to5Migration,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4,org.openrewrite.java.spring.boot2.SpringBoot2JUnit4to5Migration,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_5,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6,300,1
pom.xml,pom.xml,,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7,300,1
pom.xml,pom.xml,org.openrewrite.java.testing.junit5.JUnit4to5Migration,org.openrewrite.maven.ExcludeDependency,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.SpringBoot2JUnit4to5Migration,org.openrewrite.java.testing.junit5.JUnit4to5Migration,300,1
pom.xml,pom.xml,org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_4,org.openrewrite.java.spring.boot2.SpringBoot2JUnit4to5Migration,300,1
